,GOLD,sp500,VNQ,Date,FAANG
2020-04-21,1692.1,2846.06,73.9,,
2020-04-22,1743.5,2783.36,74.99,,
2020-04-23,1751.0,2799.55,73.25,,
2020-04-24,1741.7,2874.56,72.22,,
2020-04-27,1731.4,2823.16,73.54,,
2020-04-28,1731.2,2736.56,73.18,,
2020-04-29,1722.4,2799.31,73.54,,
2020-04-30,1704.9,2797.8,73.54,,
2020-05-01,1712.0,2836.74,73.54,,
2020-05-04,1725.9,2878.48,76.11,,
2020-05-05,1728.0,2863.39,77.0,,
2020-05-06,1704.4,2939.51,75.86,,
2020-05-07,1743.7,2912.43,75.24,,
2020-05-08,1735.2,2830.71,72.75,,
2020-05-11,1720.9,2842.74,72.44,,
2020-05-12,1728.0,2868.44,73.05,,
2020-05-13,1737.3,2848.42,71.95,,
2020-05-14,1762.0,2881.19,73.28,,
2020-05-15,1778.7,2929.8,76.11,,
2020-05-18,1760.6,2930.32,73.78,,
2020-05-19,1773.4,2870.12,74.63,,
2020-05-20,1781.7,2820.0,77.71,,
2020-05-21,1750.4,2852.5,75.59,,
2020-05-22,1765.6,2863.7,78.91,,
2020-05-24,1730.65,2953.91,74.72,,
2020-05-25,1727.0,2922.94,69.95,,
2020-05-26,1740.5,2971.61,69.31,,
2020-05-27,1740.5,2948.51,64.53,,
2020-05-28,1742.7,2955.45,65.48,,
2020-05-29,1765.7,2991.77,65.26,,
2020-06-01,1763.7,3036.13,69.85,,
2020-06-02,1749.7,3029.73,71.58,,
2020-06-03,1723.5,3044.31,70.05,,
2020-06-04,1746.4,3055.73,70.05,,
2020-06-05,1701.9,3080.82,69.98,,
2020-06-08,1723.8,3122.87,65.37,,
2020-06-09,1740.3,3112.35,62.03,,
2020-06-10,1739.0,3193.93,56.91,,
2020-06-11,1757.6,3232.39,59.68,,
2020-06-12,1755.2,3207.18,59.68,,
2020-06-15,1744.9,3190.14,62.81,,
2020-06-16,1754.4,3002.1,62.59,,
2020-06-17,1753.4,3041.31,69.17,,
2020-06-18,1747.9,3066.59,65.39,,
2020-06-19,1768.6,3124.74,79.48,,
2020-06-22,1781.7,3113.49,79.48,,
2020-06-23,1797.1,3115.34,73.1,,
2020-06-24,1792.6,3097.74,81.34,,
2020-06-25,1788.4,3117.86,86.54,,
2020-06-26,1798.5,3131.29,83.68,,
2020-06-29,1800.1,3050.33,90.67,,
2020-06-30,1820.4,3083.76,92.26,,
2020-07-01,1801.9,3009.05,94.28,,
2020-07-02,1812.0,3053.24,90.85,,
2020-07-03,1787.6,3100.29,91.06,,
2020-07-06,1816.1,3115.86,87.33,,
2020-07-07,1834.3,3130.01,89.49,,
2020-07-08,1850.6,3179.72,94.52,,
2020-07-09,1833.5,3145.32,95.55,,
2020-07-10,1831.3,3169.94,98.21,,
2020-07-13,1843.7,3152.05,99.57,,
2020-07-14,1841.5,3185.04,99.28,,
2020-07-15,1841.6,3155.22,98.11,,
2020-07-16,1826.5,3197.52,99.45,,
2020-07-17,1833.7,3226.56,99.56,,
2020-07-20,1840.1,3215.57,99.56,,
2020-07-21,1869.6,3224.73,98.54,,
2020-07-22,1892.6,3251.84,97.95,,
2020-07-23,1917.4,3257.3,97.37,,
2020-07-24,1925.2,3276.02,96.64,,
2020-07-27,1955.4,3235.66,95.57,,
2020-07-28,1963.9,3215.63,95.59,,
2020-07-29,1976.7,3239.41,95.27,,
2020-07-30,1966.8,3218.44,95.21,,
2020-07-31,1985.9,3258.44,94.24,,
2020-08-03,1986.3,3246.22,93.93,,
2020-08-04,2021.0,3271.12,95.09,,
2020-08-05,2049.3,3294.61,95.02,,
2020-08-06,2069.4,3306.51,95.37,,
2020-08-07,2028.0,3327.77,94.99,,
2020-08-10,2039.7,3349.16,95.45,,
2020-08-11,1946.3,3351.28,95.78,,
2020-08-12,1949.0,3360.47,94.98,,
2020-08-13,1970.4,3333.69,95.62,,
2020-08-14,1949.8,3380.35,94.72,,
2020-08-17,1998.7,3373.43,94.63,,
2020-08-18,2013.1,3372.85,93.88,,
2020-08-19,1970.3,3381.99,93.04,,
2020-08-20,1946.5,3389.78,93.39,,
2020-08-21,1947.0,3374.85,92.28,,
2020-08-24,1939.2,3385.51,91.58,,
2020-08-25,1923.1,3397.16,91.63,,
2020-08-26,1952.5,3431.28,91.35,,
2020-08-27,1932.6,3443.62,92.38,,
2020-08-28,1974.9,3478.73,92.27,,
2020-08-31,1978.6,3484.55,91.7,,
2020-09-01,1978.9,3508.01,92.79,,
2020-09-02,1944.7,3500.31,92.13,,
2020-09-03,1937.8,3526.65,92.04,,
2020-09-04,1934.3,3580.84,91.75,,
2020-09-06,1940.65,3455.06,91.35,,
2020-09-07,1937.1,3426.96,91.11,,
2020-09-08,1943.2,3331.84,91.57,,
2020-09-09,1954.9,3398.96,91.07,,
2020-09-10,1964.3,3339.19,90.27,,
2020-09-11,1947.9,3340.97,90.14,,
2020-09-14,1963.7,3383.54,91.0,,
2020-09-15,1966.2,3401.2,90.35,,
2020-09-16,1970.5,3385.49,90.33,,
2020-09-17,1949.9,3357.01,91.57,,
2020-09-18,1962.1,3319.47,92.51,,
2020-09-21,1910.6,3281.06,93.05,,
2020-09-22,1907.6,3315.57,92.87,,
2020-09-23,1868.4,3236.92,92.68,,
2020-09-24,1876.9,3246.59,92.63,,
2020-09-25,1866.3,3298.46,92.25,,
2020-09-28,1882.3,3351.6,91.66,,
2020-09-29,1903.2,3335.47,93.07,,
2020-09-30,1895.5,3363.0,93.5,,
2020-10-01,1916.3,3380.8,93.06,,
2020-10-02,1907.6,3348.44,91.84,,
2020-10-05,1920.1,3408.63,91.55,,
2020-10-06,1908.8,3360.95,91.89,,
2020-10-07,1890.8,3419.45,93.2,,
2020-10-08,1895.1,3446.83,93.25,,
2020-10-09,1926.2,3477.13,93.09,,
2020-10-12,1928.9,3534.22,92.64,,
2020-10-13,1894.6,3511.93,92.14,,
2020-10-14,1907.3,3488.67,91.43,,
2020-10-15,1908.9,3483.34,90.6,,
2020-10-16,1906.4,3483.81,91.29,,
2020-10-19,1911.7,3426.92,91.09,,
2020-10-20,1915.4,3443.12,91.31,,
2020-10-21,1929.5,3435.56,92.23,,
2020-10-22,1904.6,3453.49,92.03,,
2020-10-23,1905.2,3465.39,93.62,,
2020-10-26,1905.7,3400.97,94.28,,
2020-10-27,1911.9,3390.68,94.3,,
2020-10-28,1879.2,3271.03,94.47,,
2020-10-29,1868.65,3310.11,94.13,,
0,,,,2019-10-31,0.0045078859552794
1,,,,2019-11-01,0.011144484814279655
2,,,,2019-11-04,0.010840411584927434
3,,,,2019-11-05,-0.004087654914664118
4,,,,2019-11-06,-0.003076810710326394
5,,,,2019-11-07,0.002899931925765209
6,,,,2019-11-08,0.002446672850572318
7,,,,2019-11-11,-0.001046661135821636
8,,,,2019-11-12,0.0038219303447002413
9,,,,2019-11-13,-0.0082989003777757
10,,,,2019-11-14,0.005160263847302504
11,,,,2019-11-15,0.010290926453587312
12,,,,2019-11-18,0.007875125537908145
13,,,,2019-11-19,0.00022680536823793676
14,,,,2019-11-20,-0.004895925841848836
15,,,,2019-11-21,0.0024849403426598915
16,,,,2019-11-22,0.00010021605523302668
17,,,,2019-11-25,0.012866646057654307
18,,,,2019-11-26,-0.0009069526879597056
19,,,,2019-11-27,0.010249218843402684
20,,,,2019-11-29,-0.004718321273004977
21,,,,2019-12-02,-0.011704908410246628
22,,,,2019-12-03,-0.007507180443215965
23,,,,2019-12-04,0.003122195457413435
24,,,,2019-12-05,0.001698572927897546
25,,,,2019-12-06,0.011803552447344323
26,,,,2019-12-09,-0.0055720146074343955
27,,,,2019-12-10,-0.006676832184359771
28,,,,2019-12-11,0.008338058387050262
29,,,,2019-12-12,-0.003413942512719759
30,,,,2019-12-13,0.00011732537285191745
31,,,,2019-12-16,0.01428394977980818
32,,,,2019-12-17,0.009748069400010941
33,,,,2019-12-18,0.005888190744140154
34,,,,2019-12-19,0.01264304320829268
35,,,,2019-12-20,0.0014552959942826238
36,,,,2019-12-23,0.0014155682580745401
37,,,,2019-12-24,-0.0020184030077647908
38,,,,2019-12-26,0.017161670011661245
39,,,,2019-12-27,-0.003041253423953449
40,,,,2019-12-30,-0.010331566436555972
41,,,,2019-12-31,0.0025930851951949663
42,,,,2020-01-02,0.02259074257984661
43,,,,2020-01-03,-0.00889756473030878
44,,,,2020-01-06,0.019616540585131403
45,,,,2020-01-07,-0.003707535702358822
46,,,,2020-01-08,0.010641232945917343
47,,,,2020-01-09,0.008098850056378337
48,,,,2020-01-10,-0.004267227304940446
49,,,,2020-01-13,0.016575534816521742
50,,,,2020-01-14,-0.009050088733149164
51,,,,2020-01-15,0.0016126660049018413
52,,,,2020-01-16,0.0060690142225940935
53,,,,2020-01-17,0.0060781062642578645
54,,,,2020-01-21,-8.138779895450199e-05
55,,,,2020-01-22,-0.006751011910116067
56,,,,2020-01-23,0.013720411713142866
57,,,,2020-01-24,-0.004769428911522211
58,,,,2020-01-27,-0.023161747893847503
59,,,,2020-01-28,0.01730909764134414
60,,,,2020-01-29,0.007559360790694747
61,,,,2020-01-30,-0.00885872154873224
62,,,,2020-01-31,-0.008051795750521284
63,,,,2020-02-03,0.015654394868381827
64,,,,2020-02-04,0.018033446445318457
65,,,,2020-02-05,0.0015663110281318724
66,,,,2020-02-06,0.006496319236098724
67,,,,2020-02-07,0.0008110454797138901
68,,,,2020-02-10,0.013098780246568964
