Date,VNQ
2020-08-31,81.75
2020-09-01,81.81
2020-09-02,83.33
2020-09-03,82.33
2020-09-04,81.9
2020-09-08,80.9
2020-09-09,81.7
2020-09-10,80.7
2020-09-11,80.25
2020-09-13,80.25
2020-09-14,82.21
2020-09-15,83.2
2020-09-16,83.64
2020-09-17,82.01
2020-09-18,80.16
2020-09-21,77.75
2020-09-22,78.68
2020-09-23,76.31
2020-09-24,76.72
2020-09-25,77.7
2020-09-26,77.7
2020-09-27,77.7
2020-09-28,79.29
2020-09-29,78.72
2020-09-30,78.96
2020-10-01,80.54
2020-10-02,81.93
2020-10-03,81.93
2020-10-04,81.93
2020-10-05,82.4
2020-10-06,81.86
2020-10-07,81.98
2020-10-08,83.35
2020-10-09,83.02
2020-10-11,83.02
2020-10-12,83.41
2020-10-13,81.98
2020-10-14,80.98
2020-10-15,81.4
2020-10-16,80.82
2020-10-19,79.56
2020-10-20,80.13
2020-10-21,79.89
2020-10-22,79.88
2020-10-23,80.36
2020-10-26,79.21
2020-10-27,77.94
2020-10-28,76.08
2020-10-29,77.1
