Date,FAANG
2019-10-31,0.0045078859552794
2019-11-01,0.011144484814279654
2019-11-04,0.010840411584927434
2019-11-05,-0.004087654914664118
2019-11-06,-0.003076810710326394
2019-11-07,0.002899931925765209
2019-11-08,0.002446672850572318
2019-11-11,-0.001046661135821636
2019-11-12,0.0038219303447002417
2019-11-13,-0.008298900377775698
2019-11-14,0.005160263847302504
2019-11-15,0.010290926453587312
2019-11-18,0.007875125537908145
2019-11-19,0.00022680536823793673
2019-11-20,-0.004895925841848836
2019-11-21,0.0024849403426598915
2019-11-22,0.00010021605523302668
2019-11-25,0.012866646057654307
2019-11-26,-0.0009069526879597056
2019-11-27,0.010249218843402685
2019-11-29,-0.004718321273004977
2019-12-02,-0.011704908410246628
2019-12-03,-0.007507180443215966
2019-12-04,0.0031221954574134347
2019-12-05,0.0016985729278975459
2019-12-06,0.011803552447344323
2019-12-09,-0.005572014607434395
2019-12-10,-0.006676832184359771
2019-12-11,0.008338058387050262
2019-12-12,-0.0034139425127197587
2019-12-13,0.00011732537285191746
2019-12-16,0.01428394977980818
2019-12-17,0.00974806940001094
2019-12-18,0.005888190744140154
2019-12-19,0.012643043208292681
2019-12-20,0.0014552959942826238
2019-12-23,0.00141556825807454
2019-12-24,-0.0020184030077647908
2019-12-26,0.017161670011661245
2019-12-27,-0.0030412534239534494
2019-12-30,-0.010331566436555972
2019-12-31,0.0025930851951949663
2020-01-02,0.022590742579846612
2020-01-03,-0.008897564730308782
2020-01-06,0.019616540585131403
2020-01-07,-0.003707535702358822
2020-01-08,0.010641232945917345
2020-01-09,0.008098850056378337
2020-01-10,-0.004267227304940446
2020-01-13,0.016575534816521742
2020-01-14,-0.009050088733149164
2020-01-15,0.0016126660049018415
2020-01-16,0.0060690142225940935
2020-01-17,0.006078106264257865
2020-01-21,-8.138779895450199e-05
2020-01-22,-0.006751011910116067
2020-01-23,0.013720411713142866
2020-01-24,-0.004769428911522211
2020-01-27,-0.023161747893847506
2020-01-28,0.01730909764134414
2020-01-29,0.007559360790694747
2020-01-30,-0.00885872154873224
2020-01-31,-0.008051795750521284
2020-02-03,0.015654394868381827
2020-02-04,0.018033446445318457
2020-02-05,0.0015663110281318726
2020-02-06,0.006496319236098724
2020-02-07,0.00081104547971389
2020-02-10,0.013098780246568964
2020-02-11,-0.0030862342075597127
2020-02-12,0.013743120840118417
2020-02-13,-0.0003084847027730042
2020-02-14,-0.0003218075067764614
2020-02-18,0.005329087722317105
2020-02-19,0.0038830679682066993
2020-02-20,-0.007254926413332585
2020-02-21,-0.021330055531467496
2020-02-24,-0.0410554906171019
2020-02-25,-0.0239491582057898
2020-02-26,0.01682573598817383
2020-02-27,-0.04445421770596325
2020-02-28,0.004162156877590695
2020-03-02,0.043958493315565006
2020-03-03,-0.03472620575871821
2020-03-04,0.03774713938434493
2020-03-05,-0.03370692103474915
2020-03-06,-0.014028237381772835
2020-03-09,-0.06392727082490213
2020-03-10,0.05496659361613809
2020-03-11,-0.040842376248110934
2020-03-12,-0.09091101217719011
2020-03-13,0.08840919101170486
2020-03-16,-0.11025407963463396
2020-03-17,0.05159521716822657
2020-03-18,-0.012800032634242009
2020-03-19,0.026763984694114784
2020-03-20,-0.026960668870325777
2020-03-23,0.018690782616615387
2020-03-24,0.04722140686737153
2020-03-25,-0.026726375512910905
2020-03-26,0.050477000628785795
2020-03-27,-0.03288406746512973
2020-03-30,0.037704569271771016
2020-03-31,0.004334974281023252
2020-04-01,-0.03873266030057687
2020-04-02,0.009536253642376424
2020-04-03,-0.017822032986732128
2020-04-06,0.06641517978173694
2020-04-07,-0.0027959583087542317
2020-04-08,0.016629712529289797
2020-04-09,0.0019813609111118957
2020-04-13,0.03414443883026541
2020-04-14,0.04299771659347873
2020-04-15,0.006356421112532873
2020-04-16,0.017998111714400133
2020-04-17,-0.009862406584712935
2020-04-20,0.003115512771760365
2020-04-21,-0.027280515772966862
2020-04-22,0.018036846587031086
2020-04-23,0.01009409808481565
2020-04-24,0.010505738578361346
2020-04-27,-0.00817995373366076
2020-04-28,-0.028438712453255355
2020-04-29,0.04212544704390875
2020-04-30,0.027928957941151022
2020-05-01,-0.02854486941047174
2020-05-04,0.016424628350601322
2020-05-05,0.006000552739923615
2020-05-06,0.011309682539205168
2020-05-07,0.010159991725892104
2020-05-08,0.0074326883260378285
2020-05-11,0.011583890593304336
2020-05-12,-0.017637495991566166
2020-05-13,-0.005352369414020508
2020-05-14,0.007698774178819923
2020-05-15,0.012906104415812303
2020-05-18,0.008557903414520673
2020-05-19,0.0017144765846273113
2020-05-20,0.02106995822354918
2020-05-21,-0.011111210473724431
2020-05-22,0.0002872637904458575
2020-05-26,-0.011699891243378113
2020-05-27,6.55059588980933e-05
2020-05-28,-0.0074971750268110204
2020-05-29,0.008486954144082404
2020-06-01,0.014025236217287906
2020-06-02,0.0033296137867662168
2020-06-03,-0.0036443779311553515
2020-06-04,-0.013485456133309648
2020-06-05,0.017405075656392377
2020-06-08,0.00613589273757742
2020-06-09,0.027034458605215805
2020-06-10,0.009357802034138496
2020-06-11,-0.03861645670754699
2020-06-12,0.0012834179439933369
2020-06-15,0.012972901470414744
2020-06-16,0.02023488289754627
2020-06-17,0.008464702442071426
2020-06-18,0.0004169500877855281
2020-06-19,0.003595530018038362
2020-06-22,0.019181602133961473
2020-06-23,0.011319273361356297
2020-06-24,-0.019743611312747156
2020-06-25,0.010680668843449093
2020-06-26,-0.04600143366805276
2020-06-29,0.013519812106588702
2020-06-30,0.019659080643443794
2020-07-01,0.035447953709575764
