Date,Sum
2020-09-01,6140.37
2020-09-02,6235.58
2020-09-03,5935.26
2020-09-04,5795.57
2020-09-08,5564.4400000000005
2020-09-09,5707.07
2020-09-10,5563.41
2020-09-11,5492.62
2020-09-14,5469.57
2020-09-15,5575.2
2020-09-16,5449.7
2020-09-17,5331.129999999999
2020-09-18,5235.33
2020-09-21,5236.19
2020-09-22,5446.54
2020-09-23,5236.0
2020-09-24,5273.48
2020-09-25,5384.17
2020-09-28,5495.14
2020-09-29,5480.26
2020-09-30,5492.07
2020-10-01,5620.09
2020-10-02,5456.62
2020-10-05,5583.83
2020-10-06,5428.67
2020-10-07,5562.6900000000005
2020-10-08,5584.5
2020-10-09,5717.96
2020-10-12,5947.48
2020-10-13,5962.03
2020-10-14,5861.610000000001
2020-10-15,5823.490000000001
2020-10-16,5756.15
2020-10-19,5645.26
2020-10-20,5678.58
2020-10-21,5655.58
2020-10-22,5662.16
2020-10-23,5725.49
2020-10-26,5671.73
2020-10-27,5774.03
2020-10-28,5538.6900000000005
