,Date,GOLD,sp500,VNQ,BITCOIN,FAANG
0,2019-10-31,0.011464133639043528,-0.001387079289088211,0.0174432788484995,0.004976861957565637,0.0045078859552794
1,2019-11-01,-0.0017487046632124192,0.009955666436289423,-0.004675698357511138,-0.004105125977410862,0.011144484814279655
2,2019-11-04,0.00019464088756238063,-0.0019995460129251796,0.0,-0.0015703038101678723,0.010840411584927434
3,2019-11-05,-0.017579138557342944,0.002762828253096483,0.0039749457961937296,-0.002239017890299011,-0.004087654914664118
4,2019-11-06,0.00620666886761323,-0.003919344885671916,-0.016436712657468378,0.006940111435858931,-0.003076810710326394
5,2019-11-07,-0.01719272918170489,0.006871609403255041,-0.0014637716516223698,0.005946492439148798,0.002899931925765209
6,2019-11-08,-0.0009347666421847256,-0.0035686728395061262,0.006596628389934134,-0.0010590701796096003,0.002446672850572318
7,2019-11-11,-0.005547015972732661,0.002847139009142241,-0.005703883495145612,0.0061880652559607174,-0.001046661135821636
8,2019-11-12,-0.002553763440860224,0.001920439870594981,0.0,-0.007257440220196143,0.0038219303447002413
9,2019-11-13,0.006535507344023639,0.004072697314876805,0.0,0.005610128556420957,-0.0082989003777757
10,2019-11-14,0.006760827364616029,0.00558137996062924,-0.016965702428902718,-0.005320351961745073,0.005160263847302504
11,2019-11-15,-0.0032579787234042756,-0.0008323956544341593,-0.019617581326049294,0.021027101356691835,0.010290926453587312
12,2019-11-18,0.0022013207924755918,0.0032533282404039188,-0.003039513677811523,-0.018441340841366283,0.007875125537908145
13,2019-11-19,0.0015974440894568342,-0.0030228734036372717,0.007240853658536661,0.008967156439066537,0.00022680536823793676
14,2019-11-20,-0.0001993620414673103,0.009662360578885698,-0.020052970109723844,-0.02762608416318668,-0.004895925841848836
15,2019-11-21,-0.006979062811565351,0.00370405391746087,0.0,0.005880409646514595,0.0024849403426598915
16,2019-11-22,0.0002677376171351664,-0.001185730946278274,0.0,-0.007367752671220806,0.00010021605523302668
17,2019-11-25,-0.004215738758030052,0.0007025258405917167,-0.012612612612612706,0.001985199236801183,0.012866646057654307
18,2019-11-26,0.001948793763860035,0.0027301269509030224,-0.005344108446298179,0.01593818449989537,-0.0009069526879597056
19,2019-11-27,-0.004426559356136783,0.002560628553277322,0.031057528502162368,-0.010238464122038105,0.010249218843402684
20,2019-11-29,0.023491195076081217,0.001564620781921544,0.030996784565916258,-0.0066845210878132555,-0.004718321273004977
21,2019-12-02,-0.002338634237605275,0.0007115504036430131,0.023078842315369386,-0.01268084173608075,-0.011704908410246628
22,2019-12-03,0.010381086330453426,0.0008370932502488326,0.019875624923789692,0.016840025309992068,-0.007507180443215965
23,2019-12-04,-0.0027177515577355704,0.007695462486638771,-0.005260640841702524,0.009552401746724781,0.003122195457413435
24,2019-12-05,0.001994017946161497,0.0005031309486422941,-0.011899038461538614,0.005893484725601583,0.001698572927897546
25,2019-12-06,-0.011674958540630165,-0.000592563172038818,-0.02384138182702822,0.03468071382498383,0.011803552447344323
26,2019-12-09,-6.711859856378677e-05,-0.0037561935529359936,0.0,0.006140514930490726,-0.0055720146074343955
27,2019-12-10,0.0022821855282588732,-0.0015827773238195064,0.005607476635514086,-0.03999504321695235,-0.006676832184359771
28,2019-12-11,0.0046209482989552075,0.0021749357185665286,0.012391573729863659,0.006712275719633398,0.008338058387050262
29,2019-12-12,-0.0017332177854808561,0.007507338543994324,-0.009791921664626613,-0.004786938496388338,-0.003413942512719759
30,2019-12-13,0.006277128547579336,0.0021955297992111156,0.012360939431396822,0.007955765514279678,0.00011732537285191745
31,2019-12-16,-0.00013272280841469808,0.00417446792250975,0.005250305250305232,0.008148613670497795,0.01428394977980818
32,2019-12-17,6.637021304833901e-05,-0.004011250527170329,0.012146240738491354,0.006223189569553922,0.009748069400010941
33,2019-12-18,-0.0016591452083886127,-0.008631064190157245,-0.018240729629185104,-0.010300834777130286,0.005888190744140154
34,2019-12-19,0.003789137804959042,-0.006638042050567283,-0.0007334066740007916,-0.008498313068941443,0.01264304320829268
35,2019-12-20,-0.0023841059602648373,0.006323548428811776,0.010275229357798121,0.013482713235530186,0.0014552959942826238
36,2019-12-23,0.005310674455655917,0.001500276282141666,0.0,-0.0004962359971703023,0.0014155682580745401
37,2019-12-24,0.01063127311146328,0.009135730393304842,-0.0065383218307302204,-0.019373375868844134,-0.0020184030077647908
