Date,Close
10/29/2019,281.21
10/30/2019,291.45
10/31/2019,287.41
11/1/2019,286.81
11/4/2019,292.86
11/5/2019,288.03
11/6/2019,288.59
11/7/2019,289.57
11/8/2019,291.57
11/11/2019,294.18
11/12/2019,292.01
11/13/2019,283.11
11/14/2019,289.62
11/15/2019,295.03
11/18/2019,302.57
11/19/2019,302.6
11/20/2019,305.16
11/21/2019,311.69
11/22/2019,310.48
11/25/2019,315.55
11/26/2019,312.49
11/27/2019,315.93
11/29/2019,314.66
12/2/2019,309.99
12/3/2019,306.16
12/4/2019,304.32
12/5/2019,302.86
12/6/2019,307.35
12/9/2019,302.5
12/10/2019,293.12
12/11/2019,298.93
12/12/2019,298.44
12/13/2019,298.5
12/16/2019,304.21
12/17/2019,315.48
12/18/2019,320.8
12/19/2019,332.22
12/20/2019,336.9
12/23/2019,333.1
12/24/2019,333.2
12/26/2019,332.63
12/27/2019,329.09
12/30/2019,323.31
12/31/2019,323.57
1/2/2020,329.81
1/3/2020,325.9
1/6/2020,335.83
1/7/2020,330.75
1/8/2020,339.26
1/9/2020,335.66
1/10/2020,329.05
1/13/2020,338.92
1/14/2020,338.69
1/15/2020,339.07
1/16/2020,338.62
1/17/2020,339.67
1/21/2020,338.11
1/22/2020,326
1/23/2020,349.6
1/24/2020,353.16
1/27/2020,342.88
1/28/2020,348.52
1/29/2020,343.16
1/30/2020,347.74
1/31/2020,345.09
2/3/2020,358
2/4/2020,369.01
2/5/2020,369.67
2/6/2020,366.95
2/7/2020,366.77
2/10/2020,371.07
2/11/2020,373.69
2/12/2020,380.01
2/13/2020,381.4
2/14/2020,380.4
2/18/2020,387.78
2/19/2020,386.19
2/20/2020,386
2/21/2020,380.07
2/24/2020,368.7
2/25/2020,360.09
2/26/2020,379.24
2/27/2020,371.71
2/28/2020,369.03
3/2/2020,381.05
3/3/2020,368.77
3/4/2020,383.79
3/5/2020,372.78
3/6/2020,368.97
3/9/2020,346.49
3/10/2020,364.13
3/11/2020,349.92
3/12/2020,315.25
3/13/2020,336.3
3/16/2020,298.84
3/17/2020,319.75
3/18/2020,315.47
3/19/2020,332.03
3/20/2020,332.83
3/23/2020,360.27
3/24/2020,357.32
3/25/2020,342.39
3/26/2020,362.99
3/27/2020,357.12
3/30/2020,370.96
3/31/2020,375.5
4/1/2020,364.08
4/2/2020,370.08
4/3/2020,361.76
4/6/2020,379.96
4/7/2020,372.28
4/8/2020,371.12
4/9/2020,370.72
4/13/2020,396.72
4/14/2020,413.55
4/15/2020,426.75
4/16/2020,439.17
4/17/2020,422.96
4/20/2020,437.49
4/21/2020,433.83
4/22/2020,421.42
4/23/2020,426.7
4/24/2020,424.99
4/27/2020,421.38
4/28/2020,403.83
4/29/2020,411.89
4/30/2020,419.85
5/1/2020,415.27
5/4/2020,428.15
5/5/2020,424.68
5/6/2020,434.26
5/7/2020,436.53
5/8/2020,435.55
5/11/2020,440.52
5/12/2020,431.82
5/13/2020,438.27
5/14/2020,441.95
5/15/2020,454.19
5/18/2020,452.58
5/19/2020,451.04
5/20/2020,447.67
5/21/2020,436.25
5/22/2020,429.32
5/26/2020,414.77
5/27/2020,419.89
5/28/2020,413.44
5/29/2020,419.73
6/1/2020,425.92
6/2/2020,427.31
6/3/2020,421.97
6/4/2020,414.33
6/5/2020,419.6
6/8/2020,419.49
6/9/2020,434.05
6/10/2020,434.48
6/11/2020,425.56
6/12/2020,418.07
6/15/2020,425.5
6/16/2020,436.13
6/17/2020,447.77
6/18/2020,449.87
6/19/2020,453.72
6/22/2020,468.04
6/23/2020,466.26
6/24/2020,457.85
6/25/2020,465.91
6/26/2020,443.4
6/29/2020,447.24
6/30/2020,455.04
7/1/2020,485.64
7/2/2020,476.89
7/6/2020,493.81
7/7/2020,493.16
7/8/2020,502.78
7/9/2020,507.76
7/10/2020,548.73
7/13/2020,525.5
7/14/2020,524.88
7/15/2020,523.26
7/16/2020,527.39
7/17/2020,492.99
7/20/2020,502.41
7/21/2020,490.1
7/22/2020,489.82
7/23/2020,477.58
7/24/2020,480.45
7/27/2020,495.65
7/28/2020,488.51
7/29/2020,484.48
7/30/2020,485.8
7/31/2020,488.88
8/3/2020,498.62
8/4/2020,509.64
8/5/2020,502.11
8/6/2020,509.08
8/7/2020,494.73
8/10/2020,483.38
8/11/2020,466.93
8/12/2020,475.47
8/13/2020,481.33
8/14/2020,482.68
8/17/2020,482.35
8/18/2020,491.87
8/19/2020,484.53
8/20/2020,497.9
8/21/2020,492.31
8/24/2020,488.81
8/25/2020,490.58
8/26/2020,547.53
8/27/2020,526.27
8/28/2020,523.89
8/31/2020,529.56
9/1/2020,556.55
9/2/2020,552.84
9/3/2020,525.75
9/4/2020,516.05
9/8/2020,507.02
9/9/2020,500.19
9/10/2020,480.67
9/11/2020,482.03
9/14/2020,476.26
9/15/2020,495.99
9/16/2020,483.86
9/17/2020,470.2
9/18/2020,469.96
9/21/2020,487.35
9/22/2020,491.17
9/23/2020,470.61
9/24/2020,473.08
9/25/2020,482.88
9/28/2020,490.65
9/29/2020,493.48
9/30/2020,500.03
10/1/2020,527.51
10/2/2020,503.06
10/5/2020,520.65
10/6/2020,505.87
10/7/2020,534.66
10/8/2020,531.79
10/9/2020,539.44
10/12/2020,539.81
10/13/2020,554.09
10/14/2020,541.45
10/15/2020,541.94
10/16/2020,530.79
10/19/2020,530.72
10/20/2020,525.42
10/21/2020,489.05
10/22/2020,485.23
10/23/2020,488.28
10/26/2020,488.24
10/27/2020,488.93
10/28/2020,486.24
