Date,sp500
2019-10-10,2938.13
2019-10-09,2919.4
2019-10-08,2893.06
2019-10-07,2938.79
2019-10-04,2952.01
2019-10-03,2910.63
2019-10-02,2887.61
2019-10-01,2940.25
2019-09-30,2976.74
2019-09-27,2961.79
2019-09-26,2977.62
2019-09-25,2984.87
2019-09-24,2966.6
2019-09-23,2991.78
2019-09-20,2992.07
2019-09-19,3006.79
2019-09-18,3006.73
2019-09-17,3005.7
2019-09-16,2997.96
2019-09-13,3007.39
2019-09-12,3009.57
2019-09-11,3000.93
2019-09-10,2979.39
2019-09-09,2978.43
2019-09-06,2978.71
2019-09-05,2976.0
2019-09-04,2937.78
2019-09-03,2906.27
2019-08-30,2926.46
2019-08-29,2924.58
2019-08-28,2887.94
2019-08-27,2869.16
2019-08-26,2878.38
2019-08-23,2847.11
2019-08-22,2922.95
2019-08-21,2924.43
2019-08-20,2900.51
2019-08-19,2923.65
2019-08-16,2888.68
2019-08-15,2847.6
2019-08-14,2840.6
2019-08-13,2926.32
2019-08-12,2883.75
2019-08-09,2918.65
2019-08-08,2938.09
2019-08-07,2883.98
2019-08-06,2881.77
2019-08-05,2844.74
2019-08-02,2932.05
2019-08-01,2953.56
2019-07-31,2980.38
2019-07-30,3013.18
2019-07-29,3020.97
2019-07-26,3025.86
2019-07-25,3003.67
2019-07-24,3019.56
2019-07-23,3005.47
2019-07-22,2985.03
2019-07-19,2976.61
2019-07-18,2995.11
2019-07-17,2984.42
2019-07-16,3004.04
2019-07-15,3014.3
2019-07-12,3013.77
2019-07-11,2999.91
2019-07-10,2993.07
2019-07-09,2979.63
2019-07-08,2975.95
2019-07-05,2990.41
2019-07-03,2995.82
2019-07-02,2973.01
2019-07-01,2964.33
2019-06-28,2941.76
2019-06-27,2924.92
2019-06-26,2913.78
2019-06-25,2917.38
2019-06-24,2945.35
2019-06-21,2950.46
2019-06-20,2954.18
2019-06-19,2926.46
2019-06-18,2917.75
2019-06-17,2889.67
2019-06-14,2886.98
2019-06-13,2891.64
2019-06-12,2879.84
2019-06-11,2885.72
2019-06-10,2886.73
2019-06-07,2873.34
2019-06-06,2843.49
2019-06-05,2826.15
2019-06-04,2803.27
2019-06-03,2744.45
2019-05-31,2752.06
2019-05-30,2788.86
2019-05-29,2783.02
2019-05-28,2802.39
2019-05-24,2826.06
2019-05-23,2822.24
2019-05-22,2856.27
