Date,Close
10/29/2019,1762.71
10/30/2019,1779.99
10/31/2019,1776.66
11/1/2019,1791.44
11/4/2019,1804.66
11/5/2019,1801.71
11/6/2019,1795.77
11/7/2019,1788.2
11/8/2019,1785.88
11/11/2019,1771.65
11/12/2019,1778
11/13/2019,1753.11
11/14/2019,1754.6
11/15/2019,1739.49
11/18/2019,1752.53
11/19/2019,1752.79
11/20/2019,1745.53
11/21/2019,1734.71
11/22/2019,1745.72
11/25/2019,1773.84
11/26/2019,1796.94
11/27/2019,1818.51
11/29/2019,1800.8
12/2/2019,1781.6
12/3/2019,1769.96
12/4/2019,1760.69
12/5/2019,1740.48
12/6/2019,1751.6
12/9/2019,1749.51
12/10/2019,1739.21
12/11/2019,1748.72
12/12/2019,1760.33
12/13/2019,1760.94
12/16/2019,1769.21
12/17/2019,1790.66
12/18/2019,1784.03
12/19/2019,1792.28
12/20/2019,1786.5
12/23/2019,1793
12/24/2019,1789.21
12/26/2019,1868.77
12/27/2019,1869.8
12/30/2019,1846.89
12/31/2019,1847.84
1/2/2020,1898.01
1/3/2020,1874.97
1/6/2020,1902.88
1/7/2020,1906.86
1/8/2020,1891.97
1/9/2020,1901.05
1/10/2020,1883.16
1/13/2020,1891.3
1/14/2020,1869.44
1/15/2020,1862.02
1/16/2020,1877.94
1/17/2020,1864.72
1/21/2020,1892
1/22/2020,1887.46
1/23/2020,1884.58
1/24/2020,1861.64
1/27/2020,1828.34
1/28/2020,1853.25
1/29/2020,1858
1/30/2020,1870.68
1/31/2020,2008.72
2/3/2020,2004.2
2/4/2020,2049.67
2/5/2020,2039.87
2/6/2020,2050.23
2/7/2020,2079.28
2/10/2020,2133.91
2/11/2020,2150.8
2/12/2020,2160
2/13/2020,2149.87
2/14/2020,2134.87
2/18/2020,2155.67
2/19/2020,2170.22
2/20/2020,2153.1
2/21/2020,2095.97
2/24/2020,2009.29
2/25/2020,1972.74
2/26/2020,1979.59
2/27/2020,1884.3
2/28/2020,1883.75
3/2/2020,1953.95
3/3/2020,1908.99
3/4/2020,1975.83
3/5/2020,1924.03
3/6/2020,1901.09
3/9/2020,1800.61
3/10/2020,1891.82
3/11/2020,1820.86
3/12/2020,1676.61
3/13/2020,1785
3/16/2020,1689.15
3/17/2020,1807.84
3/18/2020,1830
3/19/2020,1880.93
3/20/2020,1846.09
3/23/2020,1902.83
3/24/2020,1940.1
3/25/2020,1885.84
3/26/2020,1955.49
3/27/2020,1900.1
3/30/2020,1963.95
3/31/2020,1949.72
4/1/2020,1907.7
4/2/2020,1918.83
4/3/2020,1906.59
4/6/2020,1997.59
4/7/2020,2011.6
4/8/2020,2043
4/9/2020,2042.76
4/13/2020,2168.87
4/14/2020,2283.32
4/15/2020,2307.68
4/16/2020,2408.19
4/17/2020,2375
4/20/2020,2393.61
4/21/2020,2328.12
4/22/2020,2363.49
4/23/2020,2399.45
4/24/2020,2410.22
4/27/2020,2376
4/28/2020,2314.08
4/29/2020,2372.71
4/30/2020,2474
5/1/2020,2286.04
5/4/2020,2315.99
5/5/2020,2317.8
5/6/2020,2351.26
5/7/2020,2367.61
5/8/2020,2379.61
5/11/2020,2409
5/12/2020,2356.95
5/13/2020,2367.92
5/14/2020,2388.85
5/15/2020,2409.78
5/18/2020,2426.26
5/19/2020,2449.33
5/20/2020,2497.94
5/21/2020,2446.74
5/22/2020,2436.88
5/26/2020,2421.86
5/27/2020,2410.39
5/28/2020,2401.1
5/29/2020,2442.37
6/1/2020,2471.04
6/2/2020,2472.41
6/3/2020,2478.4
6/4/2020,2460.6
6/5/2020,2483
6/8/2020,2524.06
6/9/2020,2600.86
6/10/2020,2647.45
6/11/2020,2557.96
6/12/2020,2545.02
6/15/2020,2572.68
6/16/2020,2615.27
6/17/2020,2640.98
6/18/2020,2653.98
6/19/2020,2675.01
