Date,Price,Open,High,Low,Vol.,Change %
3-Sep-20,11.88,14.8,15,11.2,26.67M,-19.69%
2-Sep-20,14.8,16.07,16.35,14.09,17.24M,-7.90%
1-Sep-20,16.07,15.59,16.49,15.16,16.41M,3.04%
31-Aug-20,15.59,16.47,16.94,15.53,16.01M,-5.34%
30-Aug-20,16.47,16.42,17.75,16.4,19.91M,0.30%
29-Aug-20,16.42,15.14,16.97,14.97,20.08M,8.44%
28-Aug-20,15.14,14.52,15.48,14.26,11.92M,4.31%
27-Aug-20,14.52,15.19,15.5,14.02,17.56M,-4.42%
26-Aug-20,15.19,14.12,15.64,14.09,18.03M,7.59%
25-Aug-20,14.12,15.14,15.35,13.51,19.89M,-6.73%
24-Aug-20,15.14,15.15,15.87,14.73,14.00M,-0.13%
23-Aug-20,15.15,15.87,15.98,14.68,17.00M,-4.52%
22-Aug-20,15.87,13.81,16.3,13.69,26.86M,14.93%
21-Aug-20,13.81,16.05,16.12,12.92,40.61M,-13.93%
20-Aug-20,16.05,16.18,16.77,15.78,16.66M,-0.86%
19-Aug-20,16.18,16.2,17.23,14.91,29.68M,-0.12%
18-Aug-20,16.2,16.68,17.64,14.86,42.86M,-2.84%
17-Aug-20,16.68,18.81,19.67,16.15,20.61M,-11.33%
16-Aug-20,18.81,19.17,20.01,18.58,16.70M,-1.89%
15-Aug-20,19.17,16.94,19.79,16.56,28.43M,13.16%
14-Aug-20,16.94,17.17,17.57,16.36,17.61M,-1.31%
13-Aug-20,17.17,16.51,18.29,16.02,46.71M,4.00%
12-Aug-20,16.51,12.98,16.72,12.61,35.47M,27.15%
11-Aug-20,12.98,13.47,13.51,12.18,24.89M,-3.60%
10-Aug-20,13.47,13.82,14.03,12.66,25.29M,-2.56%
9-Aug-20,13.82,12.72,14.41,12.02,38.92M,8.63%
8-Aug-20,12.72,10.13,13.78,9.94,38.35M,25.63%
7-Aug-20,10.13,10.2,10.25,9.26,15.76M,-0.71%
6-Aug-20,10.2,9.53,10.24,9.46,12.93M,7.06%
5-Aug-20,9.53,9.86,9.86,9.36,13.09M,-3.39%
4-Aug-20,9.86,9.18,9.96,9.09,24.64M,7.44%
3-Aug-20,9.18,8.28,9.27,8.18,17.06M,10.84%
2-Aug-20,8.28,8.32,8.78,6.96,30.73M,-0.52%
1-Aug-20,8.32,7.8,8.46,7.65,12.53M,6.72%
31-Jul-20,7.8,7.41,7.85,7.41,10.58M,5.29%
30-Jul-20,7.41,7.07,7.57,7.03,10.42M,4.71%
29-Jul-20,7.07,7.08,7.08,7.07,9.55M,-2.15%
28-Jul-20,7.23,7.09,7.39,6.92,11.93M,1.93%
27-Jul-20,7.09,7.49,7.5,6.54,23.53M,-5.31%
26-Jul-20,7.49,7.67,7.94,7.24,14.61M,-2.36%
25-Jul-20,7.67,7.44,7.79,7.39,9.97M,3.17%
24-Jul-20,7.44,7.9,7.93,7.4,10.18M,-5.83%
23-Jul-20,7.9,7.47,8.07,7.42,14.93M,5.71%
22-Jul-20,7.47,7.31,7.62,7.09,13.32M,2.24%
21-Jul-20,7.31,7.25,7.67,6.99,15.17M,0.83%
20-Jul-20,7.25,8.08,8.13,7.18,14.80M,-10.38%
19-Jul-20,8.09,7.97,8.2,7.79,9.10M,1.48%
18-Jul-20,7.97,8.26,8.26,7.77,15.70M,-3.56%
17-Jul-20,8.26,8.36,8.61,8.21,12.52M,-1.20%
16-Jul-20,8.36,8.64,8.83,7.98,27.92M,-3.27%
15-Jul-20,8.64,8.13,8.83,7.85,27.34M,6.34%
14-Jul-20,8.13,7.17,8.31,7,32.94M,13.31%
13-Jul-20,7.17,7.35,8.42,6.89,41.82M,-2.38%
12-Jul-20,7.35,6.1,7.37,6.1,25.22M,20.41%
11-Jul-20,6.1,6.14,6.27,5.98,7.54M,-0.61%
10-Jul-20,6.14,6.08,6.2,5.72,14.18M,0.92%
