Date,Price,Open,High,Low,Vol.,Change %
27-Sep-20,1.0023,1.0019,1.0027,1.0012,21.97M,0.06%
26-Sep-20,1.0017,1.0016,1.0027,1.0015,20.60M,0.01%
25-Sep-20,1.0016,1.0016,1.0021,1.0008,36.03M,0.07%
24-Sep-20,1.001,1.0005,1.0022,1.0005,30.44M,0.04%
23-Sep-20,1.0006,1.0018,1.0021,1.0002,32.21M,-0.03%
22-Sep-20,1.0009,1.0009,1.0022,1.0006,31.10M,0.00%
21-Sep-20,1.001,1.0015,1.0025,1.0006,44.46M,-0.01%
20-Sep-20,1.001,1.0012,1.0023,1.001,19.63M,-0.02%
19-Sep-20,1.0012,1.0016,1.002,1.001,19.17M,0.06%
18-Sep-20,1.0007,1.0018,1.0023,1.0005,34.35M,-0.04%
17-Sep-20,1.0011,1.0013,1.0023,1.0008,26.31M,-0.03%
16-Sep-20,1.0013,1.0011,1.0021,1.0004,40.72M,0.07%
15-Sep-20,1.0006,1.0008,1.0019,1.0003,31.91M,-0.02%
14-Sep-20,1.0008,1.0004,1.0021,1.0004,33.26M,0.05%
13-Sep-20,1.0003,1.0013,1.002,1.0003,26.51M,-0.07%
12-Sep-20,1.001,1.001,1.0016,1.0007,18.05M,0.00%
11-Sep-20,1.001,1.0008,1.0017,1.0006,27.55M,0.03%
10-Sep-20,1.0008,1.0009,1.0025,1.0007,40.75M,-0.01%
9-Sep-20,1.0009,1.0011,1.0022,1.0008,31.24M,-0.02%
8-Sep-20,1.0011,1.0014,1.0028,1.0007,37.68M,-0.03%
7-Sep-20,1.0014,1.0013,1.0025,1.001,32.73M,0.00%
6-Sep-20,1.0013,1.0019,1.003,1.0009,23.12M,-0.05%
5-Sep-20,1.0019,1.0026,1.003,1.0016,45.20M,0.00%
4-Sep-20,1.0019,1.0019,1.0024,1.0006,42.44M,0.00%
3-Sep-20,1.0019,1.0013,1.0023,1.0006,55.23M,0.08%
2-Sep-20,1.0011,1.0014,1.0022,1.0007,45.92M,0.02%
1-Sep-20,1.0009,1.0009,1.0022,1.0008,37.30M,0.00%
31-Aug-20,1.0009,1.0012,1.0026,1.0007,30.45M,-0.03%
30-Aug-20,1.0012,1.0011,1.0026,1.0009,22.01M,0.01%
29-Aug-20,1.0011,1.0011,1.0021,1.0009,16.50M,0.00%
28-Aug-20,1.0011,1.0014,1.0019,1.0009,27.17M,0.01%
27-Aug-20,1.0009,1.0012,1.0018,1.0007,38.20M,-0.02%
26-Aug-20,1.0012,1.0008,1.0015,1.0004,65.81M,0.03%
25-Aug-20,1.0008,1.0008,1.0013,1.0002,36.59M,0.01%
24-Aug-20,1.0008,1.0009,1.0017,1.0004,20.90M,-0.01%
23-Aug-20,1.0009,1.0008,1.0017,1.0003,15.80M,0.01%
22-Aug-20,1.0008,1.0001,1.0011,1,22.99M,0.07%
21-Aug-20,1.0001,1.0014,1.0024,1.0001,41.41M,-0.12%
20-Aug-20,1.0014,1.0021,1.0023,1.0006,29.93M,0.01%
19-Aug-20,1.0013,1.0011,1.0019,1.0005,32.43M,0.02%
18-Aug-20,1.0011,1.0017,1.0022,1.0005,30.06M,-0.06%
17-Aug-20,1.0017,1.0008,1.0031,1.0003,41.65M,0.09%
16-Aug-20,1.0008,1.0012,1.0021,1.0003,24.00M,-0.05%
15-Aug-20,1.0012,1.0007,1.0018,1.0002,27.96M,0.06%
14-Aug-20,1.0007,1.0016,1.0025,1.0003,29.48M,-0.10%
13-Aug-20,1.0016,1.001,1.002,0.9993,32.93M,0.06%
12-Aug-20,1.001,0.9995,1.0015,0.9991,28.30M,0.15%
11-Aug-20,0.9995,1.0007,1.0012,0.9993,30.79M,-0.12%
10-Aug-20,1.0007,1.0001,1.0018,0.9996,30.55M,0.06%
9-Aug-20,1.0001,1.0001,1.0007,0.9998,18.11M,-0.01%
8-Aug-20,1.0001,0.9998,1.0009,0.9991,17.67M,0.03%
7-Aug-20,0.9998,1.0002,1.0002,0.9989,26.20M,-0.03%
6-Aug-20,1.0002,1.0005,1.0009,0.9998,21.91M,-0.03%
5-Aug-20,1.0005,0.9999,1.0011,0.9993,22.07M,0.05%
4-Aug-20,0.9999,1.0003,1.0004,0.9992,25.55M,-0.03%
3-Aug-20,1.0003,0.9996,1.0005,0.999,22.00M,0.07%
2-Aug-20,0.9996,1.0004,1.0017,0.9985,44.55M,-0.09%
1-Aug-20,1.0005,1.0013,1.0014,0.9993,40.59M,-0.08%
31-Jul-20,1.0013,1.0018,1.0023,1.0005,22.90M,-0.05%
30-Jul-20,1.0018,1.0016,1.0021,1.0011,25.57M,0.04%
29-Jul-20,1.0014,1.0019,1.0031,1.001,29.64M,-0.05%
28-Jul-20,1.0019,1.0014,1.0025,1.0011,34.72M,0.03%
27-Jul-20,1.0016,1.0013,1.0026,1.0007,39.21M,0.02%
26-Jul-20,1.0013,1.0012,1.0026,1.0011,25.39M,0.02%
25-Jul-20,1.0012,1.0019,1.0024,1.001,16.09M,-0.07%
24-Jul-20,1.0019,1.0011,1.0021,1.0011,25.40M,0.07%
23-Jul-20,1.0011,1.0022,1.0027,1.001,24.48M,-0.10%
22-Jul-20,1.0022,1.0017,1.0025,1.0011,19.96M,0.05%
21-Jul-20,1.0017,1.001,1.0025,1.001,49.04M,0.06%
20-Jul-20,1.001,1.0017,1.0022,1.0009,14.33M,-0.07%
19-Jul-20,1.0017,1.0015,1.0018,1.0009,11.02M,0.07%
18-Jul-20,1.0011,1.0007,1.0015,1.0007,6.67M,0.04%
17-Jul-20,1.0007,1.0004,1.0014,1,14.50M,0.02%
16-Jul-20,1.0005,0.9999,1.0009,0.9997,16.56M,0.06%
15-Jul-20,0.9999,1.0003,1.0012,0.9998,11.92M,-0.04%
14-Jul-20,1.0003,1.0003,1.0011,1.0001,10.80M,0.00%
13-Jul-20,1.0003,1.0011,1.0016,1.0002,16.75M,-0.07%
12-Jul-20,1.0011,1.0011,1.0016,1.0007,9.68M,0.00%
11-Jul-20,1.0011,1.0008,1.0016,1.0006,4.71M,0.03%
10-Jul-20,1.0008,1.0012,1.0016,1.0003,15.01M,-0.04%
9-Jul-20,1.0012,1.0011,1.0018,1.0004,11.58M,0.00%
8-Jul-20,1.0012,1.0008,1.0017,1.0008,28.32M,0.03%
7-Jul-20,1.0008,1.0011,1.0013,1.0006,14.16M,0.00%
6-Jul-20,1.0009,1.0011,1.0016,1.0005,20.74M,-0.02%
5-Jul-20,1.0011,1.001,1.0017,1.0009,6.36M,0.01%
4-Jul-20,1.001,1.0005,1.0016,1.0005,4.40M,0.05%
3-Jul-20,1.0005,1.0004,1.0007,1.0002,9.65M,0.01%
2-Jul-20,1.0004,1.0005,1.0007,0.9998,13.59M,-0.01%
1-Jul-20,1.0005,1.0003,1.0009,1.0002,13.14M,0.02%
30-Jun-20,1.0003,0.9999,1.0006,0.9999,12.58M,0.04%
29-Jun-20,0.9999,1.0001,1.001,0.9994,13.61M,-0.01%
28-Jun-20,1.0001,0.9997,1.0008,0.9997,4.70M,0.03%
27-Jun-20,0.9997,1.0001,1.001,0.9995,9.08M,-0.04%
26-Jun-20,1.0001,1.0001,1.0012,0.9995,6.43M,0.01%
25-Jun-20,1.0001,0.9999,1.0007,0.9996,13.95M,0.02%
24-Jun-20,0.9999,1.0008,1.0015,0.9996,11.47M,-0.10%
23-Jun-20,1.0008,1.0006,1.0012,1.0002,16.56M,0.02%
22-Jun-20,1.0006,0.9999,1.0009,0.9999,14.12M,0.07%
21-Jun-20,0.9999,1.0013,1.0013,0.9998,5.06M,-0.08%
20-Jun-20,1.0007,0.9995,1.0008,0.9995,7.14M,0.12%
19-Jun-20,0.9995,0.9996,1.0008,0.9992,11.88M,-0.01%
18-Jun-20,0.9996,1,1.0009,0.9994,7.76M,-0.04%
17-Jun-20,1,1.0003,1.0009,0.9996,10.90M,-0.03%
16-Jun-20,1.0003,1.0005,1.0014,0.9999,8.31M,-0.02%
15-Jun-20,1.0005,0.9998,1.0008,0.9994,10.74M,0.08%
14-Jun-20,0.9998,1.0001,1.0004,0.9996,3.77M,-0.03%
13-Jun-20,1.0001,0.9997,1.0003,0.9997,3.20M,0.04%
12-Jun-20,0.9997,0.9992,1.0002,0.9992,7.71M,0.05%
11-Jun-20,0.9992,1.0007,1.0012,0.9983,14.30M,-0.14%
10-Jun-20,1.0007,1.0004,1.0009,0.9999,9.44M,0.02%
9-Jun-20,1.0005,1.0004,1.0007,0.9994,8.90M,0.01%
8-Jun-20,1.0004,1.0001,1.0005,0.9998,7.89M,0.03%
7-Jun-20,1.0001,0.9999,1.0004,0.9996,10.16M,0.01%
6-Jun-20,0.9999,0.9997,1.0003,0.9996,4.45M,0.02%
5-Jun-20,0.9997,1,1.0004,0.9994,7.44M,-0.03%
4-Jun-20,1,1.0003,1.0004,0.9997,6.46M,0.00%
3-Jun-20,1,1.0001,1.0011,0.9996,11.02M,-0.01%
2-Jun-20,1.0001,1.0017,1.0024,0.9992,25.42M,-0.16%
1-Jun-20,1.0017,0.9993,1.0028,0.9989,13.97M,0.24%
31-May-20,0.9993,0.9995,1.0001,0.9992,11.57M,-0.05%
30-May-20,0.9998,1,1.0003,0.9993,13.33M,0.01%
29-May-20,0.9997,1,1.0002,0.9992,9.07M,-0.04%
28-May-20,1,1.0002,1.0011,0.9998,10.45M,-0.01%
27-May-20,1.0002,1.0005,1.0019,0.9999,10.55M,-0.03%
26-May-20,1.0005,1.0003,1.0015,1.0003,6.05M,0.01%
25-May-20,1.0003,0.9998,1.001,0.9998,8.21M,0.05%
24-May-20,0.9998,1.0003,1.0009,0.9995,8.18M,-0.05%
23-May-20,1.0003,1.0003,1.0006,1,5.94M,0.01%
22-May-20,1.0002,0.9997,1.0005,0.9995,12.78M,0.05%
21-May-20,0.9997,0.9999,1.0002,0.9992,15.68M,-0.02%
20-May-20,0.9999,1.0002,1.0004,0.9993,15.48M,-0.03%
19-May-20,1.0002,0.9997,1.0005,0.9994,24.17M,0.05%
18-May-20,0.9997,0.9998,1,0.9993,11.67M,-0.01%
17-May-20,0.9998,0.9999,1.0004,0.9996,7.45M,-0.01%
16-May-20,0.9999,1,1.0004,0.9996,5.66M,0.00%
15-May-20,1,1.0003,1.0007,0.9988,3.80M,-0.04%
14-May-20,1.0003,1.001,1.001,0.9998,15.40M,-0.06%
13-May-20,1.001,1.0007,1.0012,1.0003,14.29M,0.03%
12-May-20,1.0007,1.0004,1.0009,1.0002,12.37M,0.01%
11-May-20,1.0006,1.0005,1.0013,1.0002,20.12M,0.00%
10-May-20,1.0006,1.0003,1.0024,1,24.41M,0.04%
9-May-20,1.0002,1.0007,1.0007,0.9999,14.78M,-0.05%
8-May-20,1.0007,1.0011,1.0014,1.0001,14.97M,-0.04%
7-May-20,1.0011,1.0006,1.0015,1.0003,14.41M,0.02%
6-May-20,1.001,1.0007,1.0013,1,9.22M,0.03%
5-May-20,1.0007,1.0007,1.0011,1,7.95M,0.01%
4-May-20,1.0006,1.0007,1.0013,1.0002,17.15M,-0.01%
3-May-20,1.0006,1.0007,1.001,0.9999,9.16M,-0.04%
2-May-20,1.001,1.0006,1.0014,1.0004,6.41M,0.04%
1-May-20,1.0006,1.0007,1.0014,0.9997,8.88M,-0.01%
30-Apr-20,1.0007,1.0008,1.0013,0.9986,24.99M,-0.01%
29-Apr-20,1.0008,1.0015,1.002,1.0007,21.52M,-0.07%
28-Apr-20,1.0015,1.0014,1.0016,1.0009,10.28M,0.01%
27-Apr-20,1.0014,1.001,1.0016,1.0009,9.29M,0.04%
26-Apr-20,1.001,1.0011,1.0016,1.0006,6.59M,-0.01%
25-Apr-20,1.0011,1.0016,1.0018,1.0006,8.78M,-0.04%
24-Apr-20,1.0016,1.0018,1.0025,1.0005,9.58M,0.03%
23-Apr-20,1.0012,1.0021,1.0037,1.0012,9.33M,-0.09%
22-Apr-20,1.0021,1.0025,1.0056,1.0018,6.83M,-0.04%
21-Apr-20,1.0025,1.0019,1.0037,1.0019,7.04M,0.05%
20-Apr-20,1.0019,1.0025,1.0049,1.0013,11.80M,-0.06%
19-Apr-20,1.0025,1.002,1.0044,1.002,5.52M,0.06%
18-Apr-20,1.002,1.0025,1.0054,1.002,5.81M,-0.05%
17-Apr-20,1.0025,1.0026,1.004,1.0017,5.21M,-0.01%
16-Apr-20,1.0026,1.0026,1.0063,1.0021,11.27M,-0.01%
15-Apr-20,1.0027,1.0023,1.0056,1.0023,6.35M,0.03%
14-Apr-20,1.0023,1.0031,1.0044,1.0019,7.24M,-0.04%
13-Apr-20,1.0027,1.0023,1.0044,1.0022,9.08M,0.04%
12-Apr-20,1.0023,1.0027,1.0045,1.0022,8.09M,-0.04%
11-Apr-20,1.0027,1.0027,1.0038,1.0023,4.38M,0.06%
10-Apr-20,1.0022,1.0018,1.004,1.0018,15.89M,0.04%
9-Apr-20,1.0018,1.0019,1.0031,1.0016,8.57M,-0.01%
8-Apr-20,1.0019,1.0012,1.0028,1.0012,8.11M,0.08%
7-Apr-20,1.0012,1.0021,1.0033,1.001,10.06M,-0.10%
6-Apr-20,1.0021,1.0029,1.006,1.0016,10.76M,-0.08%
5-Apr-20,1.0029,1.0059,1.0061,1.0026,4.19M,-0.11%
4-Apr-20,1.004,1.0048,1.005,1.0031,3.31M,0.15%
3-Apr-20,1.0025,1.0021,1.004,1.0021,5.94M,0.00%
2-Apr-20,1.0025,1.0042,1.0057,1.0021,10.45M,-0.17%
1-Apr-20,1.0042,1.0036,1.0059,1.0032,10.43M,0.06%
31-Mar-20,1.0035,1.004,1.0065,1.0033,7.54M,-0.04%
30-Mar-20,1.004,1.0061,1.0066,1.0038,7.34M,0.04%
29-Mar-20,1.0036,1.0034,1.0059,1.0032,5.92M,0.01%
28-Mar-20,1.0034,1.0037,1.0061,1.0028,8.35M,-0.02%
27-Mar-20,1.0037,1.0049,1.0062,1.0031,6.95M,-0.12%
26-Mar-20,1.0049,1.0032,1.005,1.0032,6.11M,0.16%
25-Mar-20,1.0032,1.0043,1.0077,1.0029,10.25M,-0.11%
24-Mar-20,1.0043,1.0051,1.0065,1.0036,9.04M,-0.09%
23-Mar-20,1.0051,1.0035,1.0062,1.0033,11.48M,0.17%
22-Mar-20,1.0035,1.0032,1.0054,1.0027,8.50M,0.03%
21-Mar-20,1.0032,1.0017,1.0039,1.0017,6.39M,0.15%
20-Mar-20,1.0017,1.0035,1.0047,1.0012,19.05M,-0.18%
19-Mar-20,1.0035,1.0061,1.0111,1.0034,18.84M,-0.23%
18-Mar-20,1.0059,1.0069,1.0094,1.0057,8.77M,-0.11%
17-Mar-20,1.0069,1.0059,1.0265,1.0059,11.47M,0.10%
16-Mar-20,1.0059,1.0023,1.0073,1.0023,17.87M,0.34%
15-Mar-20,1.0025,1.0084,1.021,1.0023,29.69M,-0.59%
14-Mar-20,1.0084,1.0083,1.0097,1.0044,14.01M,0.02%
13-Mar-20,1.0082,1.0131,1.0667,1.0041,73.37M,-0.65%
12-Mar-20,1.0148,1.0046,1.0327,1.0008,58.21M,1.02%
11-Mar-20,1.0046,1.0037,1.0064,1.0037,7.34M,0.08%
10-Mar-20,1.0037,1.0038,1.0054,1.0033,8.99M,-0.01%
9-Mar-20,1.0038,1.0074,1.008,1.0034,15.02M,-0.12%
8-Mar-20,1.005,1.0047,1.0074,1.0029,10.64M,0.04%
7-Mar-20,1.0047,1.0074,1.008,1.0045,3.56M,-0.01%
6-Mar-20,1.0048,1.0062,1.0065,1.0043,4.05M,0.11%
5-Mar-20,1.0037,1.0035,1.0055,1.0031,5.57M,0.02%
4-Mar-20,1.0035,1.0044,1.0059,1.0029,7.47M,-0.09%
3-Mar-20,1.0044,1.0049,1.0058,1.0038,5.47M,0.17%
2-Mar-20,1.0026,1.0064,1.0065,1.0023,7.75M,-0.17%
1-Mar-20,1.0043,1.0064,1.0069,1.0037,3.90M,-0.02%
29-Feb-20,1.0045,1.0037,1.0055,1.0037,3.71M,0.08%
28-Feb-20,1.0037,1.002,1.0055,1.002,7.47M,0.16%
27-Feb-20,1.0021,1.0027,1.0053,1.0017,7.78M,-0.06%
26-Feb-20,1.0027,1.002,1.0043,1.0014,9.47M,0.07%
25-Feb-20,1.002,1.0012,1.0039,1.0012,5.53M,0.09%
24-Feb-20,1.0011,1.0037,1.0042,1.0008,7.05M,-0.26%
23-Feb-20,1.0037,1.0045,1.0057,1.0031,4.59M,-0.07%
22-Feb-20,1.0044,1.0028,1.0048,1.0019,2.59M,0.21%
21-Feb-20,1.0024,1.0017,1.0037,1.0015,5.24M,0.06%
20-Feb-20,1.0017,1.0004,1.0026,1.0002,7.73M,0.13%
19-Feb-20,1.0004,1.0021,1.0031,0.9998,11.25M,-0.16%
18-Feb-20,1.0021,1.0009,1.0032,1.0002,8.61M,0.12%
17-Feb-20,1.0009,1.0013,1.0033,1.0007,13.23M,-0.02%
16-Feb-20,1.0011,1.0002,1.0022,0.999,10.49M,0.09%
15-Feb-20,1.0002,1,1.001,0.9984,10.81M,0.03%
14-Feb-20,1,0.9992,1.0002,0.9982,11.38M,0.08%
13-Feb-20,0.9992,1.001,1.0012,0.9988,11.71M,-0.18%
12-Feb-20,1.001,1.0029,1.0029,0.9999,11.37M,-0.19%
