Date,Price,Open,High,Low,Vol.,Change %
3-Sep-20,0.2443,0.27602,0.27647,0.2397,2.07B,-11.49%
2-Sep-20,0.27602,0.29533,0.30373,0.26565,2.08B,-6.57%
1-Sep-20,0.29542,0.28114,0.29881,0.27632,1.63B,5.07%
31-Aug-20,0.28117,0.28303,0.2845,0.27813,1.16B,-0.66%
30-Aug-20,0.28303,0.27384,0.28383,0.27381,1.16B,3.36%
29-Aug-20,0.27384,0.27167,0.2768,0.26872,952.89M,0.79%
28-Aug-20,0.27168,0.26456,0.27313,0.26005,1.18B,2.70%
27-Aug-20,0.26455,0.27647,0.27826,0.25489,1.56B,-4.31%
26-Aug-20,0.27647,0.27641,0.28055,0.27404,1.10B,0.02%
25-Aug-20,0.27641,0.28856,0.28957,0.27047,1.30B,-4.22%
24-Aug-20,0.28857,0.2848,0.29193,0.28236,988.01M,1.34%
23-Aug-20,0.28477,0.28609,0.28794,0.27761,969.03M,-0.47%
22-Aug-20,0.28611,0.27921,0.28661,0.27353,1.22B,2.47%
21-Aug-20,0.27921,0.29215,0.29575,0.27792,1.53B,-4.43%
20-Aug-20,0.29217,0.28979,0.2944,0.2847,1.22B,0.82%
19-Aug-20,0.28979,0.30255,0.30587,0.27942,1.99B,-4.22%
18-Aug-20,0.30255,0.3152,0.32152,0.2985,2.15B,-3.99%
17-Aug-20,0.31513,0.30446,0.32667,0.29746,2.75B,3.50%
16-Aug-20,0.30447,0.29882,0.30467,0.29243,1.74B,1.88%
15-Aug-20,0.29886,0.30006,0.30522,0.29364,1.81B,-0.40%
14-Aug-20,0.30006,0.29434,0.30708,0.29097,2.10B,1.94%
13-Aug-20,0.29435,0.28232,0.29536,0.27298,2.00B,4.26%
12-Aug-20,0.28231,0.28292,0.28719,0.27266,1.97B,-0.22%
11-Aug-20,0.28293,0.29465,0.30713,0.27077,2.65B,-3.97%
10-Aug-20,0.29464,0.28795,0.29993,0.2851,1.97B,2.32%
9-Aug-20,0.28795,0.29526,0.29828,0.28236,1.18B,-2.47%
8-Aug-20,0.29525,0.29444,0.29864,0.29027,1.10B,0.27%
7-Aug-20,0.29444,0.30316,0.31003,0.28165,1.88B,-2.88%
6-Aug-20,0.30316,0.30248,0.31065,0.29743,1.82B,0.22%
5-Aug-20,0.30249,0.30136,0.30789,0.29175,2.07B,0.40%
4-Aug-20,0.30129,0.31005,0.31873,0.29153,2.74B,-2.83%
3-Aug-20,0.31005,0.28791,0.31971,0.28482,3.33B,7.70%
2-Aug-20,0.28787,0.29101,0.32523,0.25562,5.37B,-1.08%
1-Aug-20,0.291,0.25945,0.29743,0.25576,3.30B,12.15%
31-Jul-20,0.25947,0.24415,0.26039,0.2418,1.78B,6.27%
30-Jul-20,0.24417,0.24096,0.24941,0.23742,1.93B,0.40%
29-Jul-20,0.24319,0.23041,0.25,0.22955,2.44B,5.55%
28-Jul-20,0.23041,0.22433,0.2346,0.21729,2.00B,2.71%
27-Jul-20,0.22433,0.21527,0.2289,0.21005,2.10B,4.21%
26-Jul-20,0.21526,0.21464,0.22492,0.21295,1.55B,0.30%
25-Jul-20,0.21463,0.20401,0.21741,0.20367,1.26B,5.20%
24-Jul-20,0.20401,0.2085,0.2085,0.20205,1.02B,-2.16%
23-Jul-20,0.20851,0.20356,0.21006,0.20164,1.42B,2.43%
22-Jul-20,0.20356,0.19947,0.20437,0.1962,1.00B,2.05%
21-Jul-20,0.19947,0.19468,0.20085,0.19399,998.17M,2.46%
20-Jul-20,0.19469,0.19954,0.20008,0.19286,946.40M,-2.43%
19-Jul-20,0.19953,0.19988,0.20198,0.19588,877.53M,-0.18%
18-Jul-20,0.19989,0.19448,0.20197,0.19403,988.42M,2.78%
17-Jul-20,0.19448,0.19442,0.19798,0.19141,910.35M,0.04%
16-Jul-20,0.19441,0.19724,0.19752,0.18907,1.05B,-1.43%
15-Jul-20,0.19723,0.19911,0.19974,0.19654,772.57M,-0.95%
14-Jul-20,0.19911,0.19872,0.19972,0.19509,948.66M,0.20%
13-Jul-20,0.19872,0.20119,0.20645,0.19412,1.31B,-1.23%
12-Jul-20,0.20119,0.20114,0.20385,0.19798,863.29M,0.02%
11-Jul-20,0.20115,0.19898,0.2046,0.19812,1.13B,1.09%
10-Jul-20,0.19898,0.20261,0.20264,0.19338,1.36B,-1.79%
9-Jul-20,0.20261,0.20545,0.21161,0.1975,2.28B,-1.38%
8-Jul-20,0.20544,0.18512,0.20659,0.18402,2.17B,10.98%
7-Jul-20,0.18512,0.18875,0.18957,0.18321,935.86M,-1.92%
6-Jul-20,0.18875,0.17704,0.18908,0.17645,1.25B,6.57%
5-Jul-20,0.17711,0.17808,0.17876,0.17401,777.71M,-0.54%
4-Jul-20,0.17808,0.17634,0.1795,0.17604,773.85M,0.96%
3-Jul-20,0.1764,0.17478,0.17852,0.17443,802.84M,0.93%
2-Jul-20,0.17478,0.17644,0.17712,0.1724,925.56M,-0.95%
1-Jul-20,0.17645,0.17531,0.1781,0.17393,773.69M,0.64%
30-Jun-20,0.17532,0.17724,0.17756,0.17497,639.09M,-1.08%
29-Jun-20,0.17725,0.17687,0.17913,0.17518,880.97M,0.21%
28-Jun-20,0.17688,0.17514,0.1796,0.17349,856.63M,0.99%
27-Jun-20,0.17514,0.18249,0.18342,0.16947,975.54M,-4.03%
26-Jun-20,0.18248,0.18155,0.18679,0.17876,1.11B,0.51%
25-Jun-20,0.18155,0.18352,0.18406,0.17897,912.40M,-1.07%
24-Jun-20,0.18351,0.18886,0.1901,0.18179,1.01B,-2.83%
23-Jun-20,0.18886,0.18942,0.19042,0.18839,793.85M,-0.29%
22-Jun-20,0.18941,0.18606,0.19018,0.18584,1.07B,1.80%
21-Jun-20,0.18606,0.18793,0.1884,0.18577,623.94M,-0.99%
20-Jun-20,0.18793,0.18727,0.18894,0.18539,692.33M,0.35%
19-Jun-20,0.18727,0.18978,0.19002,0.18672,1.01B,-1.32%
18-Jun-20,0.18978,0.19318,0.1932,0.18829,852.10M,-1.76%
17-Jun-20,0.19318,0.19238,0.19852,0.1889,1.03B,0.41%
16-Jun-20,0.19239,0.19242,0.19389,0.19021,798.67M,-0.01%
15-Jun-20,0.19241,0.19029,0.19337,0.1824,1.29B,1.11%
14-Jun-20,0.19029,0.19241,0.19248,0.18894,671.96M,-1.10%
13-Jun-20,0.19241,0.19304,0.19373,0.19093,706.60M,-0.33%
12-Jun-20,0.19304,0.18837,0.19499,0.1871,903.45M,2.48%
11-Jun-20,0.18838,0.20271,0.20343,0.18544,1.38B,-7.07%
10-Jun-20,0.2027,0.20132,0.20376,0.20019,911.78M,0.68%
9-Jun-20,0.20133,0.20409,0.20499,0.20036,933.54M,-1.35%
8-Jun-20,0.20408,0.20334,0.20428,0.2014,799.78M,0.37%
