Date,Price,Open,High,Low,Vol.,Change %
27-Aug-20,264.64,274.77,276.85,258.5,1.35M,-3.69%
26-Aug-20,274.78,275.66,278.83,271.13,957.77K,-0.32%
25-Aug-20,275.66,290.75,291.51,268.81,1.27M,-5.20%
24-Aug-20,290.77,284.61,294.92,282.06,901.04K,2.17%
23-Aug-20,284.6,286.64,288.11,278.9,736.19K,-0.71%
22-Aug-20,286.64,282.92,287.6,276.26,986.72K,1.33%
21-Aug-20,282.88,294.66,305.45,281.63,1.54M,-4.00%
20-Aug-20,294.68,292.68,296.21,288.74,1.06M,0.69%
19-Aug-20,292.67,303.32,308.81,281.76,1.83M,-3.52%
18-Aug-20,303.33,318,324.23,301.43,1.80M,-4.59%
17-Aug-20,317.91,308.29,324.95,301.55,2.08M,3.12%
16-Aug-20,308.29,302.19,313.48,295.67,1.75M,2.02%
15-Aug-20,302.18,293.29,307.75,291.7,1.61M,3.03%
14-Aug-20,293.3,295.71,297.77,287.96,1.45M,-0.82%
13-Aug-20,295.71,284.61,296.9,274.79,1.70M,3.91%
12-Aug-20,284.58,281.66,289.93,271.43,1.57M,1.05%
11-Aug-20,281.62,302.38,305.6,269.99,1.80M,-6.87%
10-Aug-20,302.39,300.01,309.01,287.18,1.56M,0.79%
9-Aug-20,300.01,305.27,308.85,292.63,1.22M,-1.72%
8-Aug-20,305.25,302.36,309.42,297.91,1.30M,0.96%
7-Aug-20,302.36,308.91,326.07,282.35,2.83M,-2.12%
6-Aug-20,308.91,293.53,319.22,287.47,2.18M,5.24%
5-Aug-20,293.54,288.11,298.13,284.41,1.77M,1.88%
4-Aug-20,288.12,296.71,302.96,282.05,1.65M,-2.89%
3-Aug-20,296.71,283.83,304.49,280.47,1.77M,4.55%
2-Aug-20,283.79,319.51,337.62,249.43,3.26M,-11.18%
1-Aug-20,319.51,300.63,321.21,298.03,1.82M,6.26%
31-Jul-20,300.69,291.56,306.23,287.32,1.38M,3.13%
30-Jul-20,291.56,287.8,299.52,280.89,1.61M,1.30%
29-Jul-20,287.82,289.04,293.88,285.61,1.58M,-0.43%
28-Jul-20,289.06,268.52,297.02,264.99,2.70M,7.66%
27-Jul-20,268.49,247.45,274.95,247.18,2.44M,8.50%
26-Jul-20,247.45,251.12,256.81,244.41,1.55M,-1.41%
25-Jul-20,251.01,235.07,253.28,234.87,1.56M,6.78%
24-Jul-20,235.07,238.32,238.8,232.73,939.45K,-1.36%
23-Jul-20,238.32,239.13,242.14,235.71,1.19M,-0.34%
22-Jul-20,239.12,228.65,239.21,227.82,1.07M,4.09%
21-Jul-20,229.74,222.77,232.05,222.24,984.22K,3.13%
20-Jul-20,222.77,227.74,228.39,221.27,673.38K,-2.18%
19-Jul-20,227.74,224.43,228.72,220.42,672.12K,1.48%
18-Jul-20,224.43,222.78,226.24,222.35,625.92K,0.74%
17-Jul-20,222.77,224.12,225.21,222.06,711.86K,-0.58%
16-Jul-20,224.08,227.59,228.21,218.19,971.85K,-1.54%
15-Jul-20,227.6,230.08,230.66,226.49,742.16K,-1.08%
14-Jul-20,230.08,232.12,232.12,226.64,866.02K,-0.88%
13-Jul-20,232.12,237.4,237.83,226.17,1.10M,-2.22%
12-Jul-20,237.39,236.59,239.09,232.4,750.02K,0.32%
11-Jul-20,236.63,238.35,239.3,234.8,649.52K,-0.71%
10-Jul-20,238.33,238.15,239.77,232.73,948.64K,0.07%
9-Jul-20,238.16,243.31,245.49,233.05,1.34M,-2.12%
8-Jul-20,243.31,237.82,245.7,235.95,1.40M,2.31%
7-Jul-20,237.82,242.28,244.08,235.11,1.17M,-1.84%
6-Jul-20,242.27,222.4,243.2,221.73,1.87M,8.93%
5-Jul-20,222.4,225.27,225.82,216.14,1.12M,-1.27%
4-Jul-20,225.28,220.88,226.56,220.27,1.00M,1.98%
3-Jul-20,220.91,219.61,223.59,219.19,998.04K,0.59%
2-Jul-20,219.61,223.73,225.42,217.46,1.22M,-1.83%
1-Jul-20,223.72,222.11,226.62,221.21,1.17M,0.72%
30-Jun-20,222.11,225.08,225.84,220.58,963.72K,-1.29%
29-Jun-20,225.02,222.63,227.14,218.49,1.17M,1.06%
28-Jun-20,222.65,216.42,225.34,213.45,1.18M,2.88%
27-Jun-20,216.42,230.71,231.47,206.34,1.47M,-6.19%
26-Jun-20,230.71,232.45,233.69,228.27,1.26M,-0.75%
25-Jun-20,232.45,232.74,234.79,226.35,1.26M,-0.17%
24-Jun-20,232.84,240.64,245.56,229.65,1.61M,-3.24%
23-Jun-20,240.64,240.95,244.05,239.27,1.39M,-0.15%
22-Jun-20,241,230.31,243.78,229.72,1.65M,4.64%
21-Jun-20,230.31,232.84,234.01,229.82,1.28M,-1.06%
20-Jun-20,232.78,233.42,235.26,228.64,1.42M,-0.30%
19-Jun-20,233.48,236.03,236.58,230.5,1.66M,-1.08%
18-Jun-20,236.03,240.25,240.63,232.4,1.44M,-1.75%
17-Jun-20,240.24,237.54,242.78,235.05,1.55M,1.14%
16-Jun-20,237.54,235.66,238.99,234.14,1.61M,0.80%
15-Jun-20,235.66,237.36,238.34,224.61,2.34M,-0.75%
14-Jun-20,237.43,240.7,240.88,235.16,1.46M,-1.36%
13-Jun-20,240.7,240.93,242.12,237.35,1.50M,-0.09%
12-Jun-20,240.92,234.87,243.4,233.15,2.01M,2.62%
11-Jun-20,234.77,256.94,257.83,231.99,2.83M,-8.63%
10-Jun-20,256.94,254.01,258.87,251.15,2.07M,1.15%
9-Jun-20,254.02,255.22,256.87,251.02,1.66M,-0.47%
8-Jun-20,255.23,253.63,256.65,251.36,1.74M,0.63%
7-Jun-20,253.63,253.25,255.86,245.56,2.19M,0.14%
6-Jun-20,253.27,256.13,258.03,251.09,1.93M,-1.13%
5-Jun-20,256.17,256.26,263.33,254.75,2.52M,-0.01%
4-Jun-20,256.2,253.21,260.77,247.98,2.75M,1.25%
3-Jun-20,253.05,250.96,253.59,246.61,2.28M,0.80%
2-Jun-20,251.04,253.14,269.24,243.46,4.18M,-0.83%
1-Jun-20,253.14,238.81,254.71,237.54,2.67M,6.00%
31-May-20,238.82,252.51,252.63,236.81,2.57M,-5.43%
30-May-20,252.53,238.38,253.54,236.21,2.84M,5.94%
29-May-20,238.37,239.8,243.86,234.7,2.67M,-0.59%
28-May-20,239.79,232.95,240.93,229.03,2.58M,2.94%
27-May-20,232.95,227.98,234.47,227.03,1.94M,2.18%
26-May-20,227.99,230.42,231.28,224.02,1.78M,-1.06%
25-May-20,230.42,222.99,233.06,221.48,2.07M,3.38%
24-May-20,222.89,234.12,237.44,222.89,2.20M,-4.80%
23-May-20,234.12,234.65,239.84,232.24,1.98M,-0.22%
22-May-20,234.65,228.12,236.55,225.15,2.36M,2.87%
21-May-20,228.11,239.82,242.86,221.18,2.61M,-4.88%
20-May-20,239.82,246.73,247.56,235.51,2.33M,-2.80%
19-May-20,246.73,248.5,250.88,243.01,2.43M,-0.69%
18-May-20,248.45,240.77,254.71,240.41,2.94M,3.17%
17-May-20,240.81,236.44,245.5,235.64,2.28M,1.85%
16-May-20,236.44,235.1,240.75,233.75,2.29M,0.57%
