Date,FANG,GOLD,sp500,VNQ,BTC
2020-03-19,3538.96,1489.4,2741.38,77.84,6195.2
2020-03-20,3454.17,1495.1,2480.64,83.18,5822.62
2020-03-23,3521.42,1581.4,2711.02,85.35,6502.16
2020-03-24,3650.13,1663,2386.13,86.79,6768.49
2020-03-25,3547.44,1633.3,2529.19,84.69,6698.46
2020-03-26,3709.35,1662,2398.1,84.69,6763.75
2020-03-27,3586.21,1655,2409.39,81.6,5885.41
2020-03-30,3710.87,1644.1,2304.92,82.42,6405.29
2020-03-31,3717.54,1597.6,2237.4,79.86,6428.28
2020-04-01,3593.71,1592.5,2447.33,79.22,6652.87
2020-04-02,3625.36,1638.9,2475.56,77.43,6809.11
2020-04-03,3575.58,1646.5,2630.07,78.21,6777.44
2020-04-06,3791.91,1693.1,2541.47,77.84,7343.2
2020-04-07,3800.13,1683.7,2626.65,76.32,7205.55
2020-04-08,3861.92,1684.1,2584.59,73.57,7365.03
2020-04-09,3862.24,1753.6,2470.5,72.59,7293.69
2020-04-10,,1740.6,2526.9,72.53,6915.37
2020-04-13,4019.1,1762.7,2488.65,71.89,6857.66
2020-04-14,4212.03,1771.2,2663.68,72.87,6871.95
2020-04-15,4239.81,1744.7,2659.41,68.8,6623.8
2020-04-16,4352.71,1736.3,2749.98,69.07,7112.27
2020-04-17,4326.9,1702.7,2789.82,68.83,7130.04
2020-04-20,4339.72,1715.3,2761.63,70.54,6840.24
2020-04-21,4212,1692.1,2846.06,73.9,6852.52
2020-04-22,4294.63,1743.5,2783.36,74.99,7130.99
2020-04-23,4351.21,1751,2799.55,73.25,7477.6
2020-04-24,4372.62,1741.7,2874.56,72.22,7699.27
2020-04-27,4326.53,1731.4,2823.16,73.54,7790.66
2020-04-28,4203.06,1731.2,2736.56,73.18,7765.33
2020-04-29,4392.9,1722.4,2799.31,73.54,8777.63
2020-04-30,4518.71,1704.9,2797.8,73.54,8628.77
2020-05-01,4293.17,1712,2836.74,73.54,8903.95
2020-05-04,4345.59,1725.9,2878.48,76.11,8885.93
2020-05-05,4372.96,1728,2863.39,77,9030.96
2020-05-06,4414.58,1704.4,2939.51,75.86,9170.79
2020-05-07,4460.62,1743.7,2912.43,75.24,10002.48
2020-05-08,4489.38,1735.2,2830.71,72.75,8754.46
2020-05-11,4545.04,1720.9,2842.74,72.44,8617.25
2020-05-12,4451.9,1728,2868.44,73.05,8814.53
2020-05-13,4436.53,1737.3,2848.42,71.95,9305.93
2020-05-14,4471.86,1762,2881.19,73.28,9790.31
2020-05-15,4524.84,1778.7,2929.8,76.11,9669.4
2020-05-18,4555.95,1760.6,2930.32,73.78,9719.37
2020-05-19,4569.94,1773.4,2870.12,74.63,9785.74
2020-05-20,4664.55,1781.7,2820,77.71,9510.67
2020-05-21,4600.34,1750.4,2852.5,75.59,9057.57
2020-05-22,4594.07,1765.6,2863.7,78.91,8730.73
2020-05-24,,1730.65,2953.91,74.72,8899.66
2020-05-25,,1727,2922.94,69.95,8842.85
2020-05-26,4569.38,1740.5,2971.61,69.31,9197.54
2020-05-27,4559.23,1740.5,2948.51,64.53,9569.21
2020-05-28,4537.8,1742.7,2955.45,65.48,9450.84
2020-05-29,4600.2,1765.7,2991.77,65.26,10204.23
2020-06-01,4644.2,1763.7,3036.13,69.85,9525.57
2020-06-02,4655.58,1749.7,3029.73,71.58,9658.04
2020-06-03,4651.06,1723.5,3044.31,70.05,9794.56
2020-06-04,4596.1,1746.4,3055.73,70.05,9753.85
2020-06-05,4656.27,1701.9,3080.82,69.98,9782.59
2020-06-08,4706.36,1723.8,3122.87,65.37,9775.15
2020-06-09,4811.66,1740.3,3112.35,62.03,9892.13
2020-06-10,4871.57,1739,3193.93,56.91,9286.42
2020-06-11,4693.83,1757.6,3232.39,59.68,9330.07
2020-06-12,4689.29,1755.2,3207.18,59.68,9426.7
2020-06-15,4737.17,1744.9,3190.14,62.81,9526
2020-06-16,4821.54,1754.4,3002.1,62.59,9454.81
2020-06-17,4864.72,1753.4,3041.31,69.17,9380.03
2020-06-18,4861.84,1747.9,3066.59,65.39,9284.78
2020-06-19,4879.59,1768.6,3124.74,79.48,9691.9
2020-06-22,4961.46,1781.7,3113.49,79.48,9621.49
2020-06-23,5028.52,1797.1,3115.34,73.1,9276.58
2020-06-24,4948.99,1792.6,3097.74,81.34,9240.85
2020-06-25,4988.48,1788.4,3117.86,86.54,9127.47
2020-06-26,4803.3,1798.5,3131.29,83.68,9185.35
2020-06-29,4835.88,1800.1,3050.33,90.67,9133.97
2020-06-30,4950.18,1820.4,3083.76,92.26,9236.38
2020-07-01,5134.92,1801.9,3009.05,94.28,9087.98
2020-07-02,5161.57,1812,3053.24,90.85,9082.34
2020-07-03,,1787.6,3100.29,91.06,9023.23
2020-07-06,5384.24,1816.1,3115.86,87.33,9089.09
2020-07-07,5317.23,1834.3,3130.01,89.49,9348.91
2020-07-08,5426.41,1850.6,3179.72,94.52,9256.23
2020-07-09,5549.23,1833.5,3145.32,95.55,9440.07
2020-07-10,5628.73,1831.3,3169.94,98.21,9238.04
2020-07-13,5476.21,1843.7,3152.05,99.57,9295.9
2020-07-14,5466.53,1841.5,3185.04,99.28,9238.13
2020-07-15,5387.02,1841.6,3155.22,98.11,9254.52
2020-07-16,5379.66,1826.5,3197.52,99.45,9193.51
2020-07-17,5310.17,1833.7,3226.56,99.56,9131
2020-07-20,5606.87,1840.1,3215.57,99.56,9214.66
2020-07-21,5523.06,1869.6,3224.73,98.54,9163.87
2020-07-22,5491.72,1892.6,3251.84,97.95,9392.66
2020-07-23,5306.33,1917.4,3257.3,97.37,9537.4
2020-07-24,5320.9,1925.2,3276.02,96.64,9613.11
2020-07-27,5408.6,1955.4,3235.66,95.57,9938.83
2020-07-28,5315.86,1963.9,3215.63,95.59,11042.4
2020-07-29,5369.85,1976.7,3239.41,95.27,10934.94
2020-07-30,5406.74,1966.8,3218.44,95.21,11102.67
